feature,importance
dist_max_5,0.02778290440626053
sma_5_rel,0.026609727670479918
logret_lag_10,0.026502812928810595
ret_lag_2,0.026381990248395132
logret_lag_5,0.026335341712371372
ret_lag_5,0.026048416705235774
ret_lag_8,0.024711441147557526
logret_lag_1,0.023506153989299724
logret_lag_2,0.023281866738111445
ret_lag_10,0.022722940317528743
macd_hist,0.022440182653369525
logret_lag_8,0.02199227940091001
logret_lag_9,0.021912159352033788
ret_lag_1,0.02177845624475307
logret_lag_7,0.02171789452658787
logret_lag_3,0.02164917173412574
macd_sig,0.02154189150062793
mom_3,0.021263516981327845
ret_lag_9,0.02119376068462651
ret_lag_7,0.02119354637129333
vol_5,0.020725387198119807
logret_lag_4,0.020584403247943892
ret_lag_3,0.02056038994748438
dist_min_5,0.02052198833629461
rsi7,0.020513207205635972
zscore_20,0.019874981838489243
rsi14,0.019691523251183413
ret_lag_6,0.019690326625762436
ret_lag_4,0.019669712595291218
mom_10,0.019297616382009428
bb_width20,0.019296208745881904
bb_percent_b20,0.0186928033840964
logret_lag_6,0.018601157009503506
macd,0.018538074153928767
mom_20,0.018465236512706307
mom_5,0.018129411516006645
dist_max_20,0.01796498936568389
sma_10_rel,0.01794152632228783
dist_min_10,0.017813827549073492
vol_10,0.017488057651450915
dist_max_10,0.017363677668802337
ema12_rel,0.01706647098151227
vol_20,0.017058604337560852
ewm_vol_10,0.01672875890250271
sma_20_rel,0.01636596244586702
ema26_rel,0.015776012495580027
dist_min_20,0.01448823933492603
month_sin,0.009514806755398545
month_cos,0.008662530262710627
dow_4,0.005184360076093658
dow_3,0.002267532627604458
dow_0,0.0017344368848030089
dow_1,0.0016455971820264015
dow_2,0.0015157258920716892
